what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1379321791375
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1379321791406
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1379321791437
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1379321791437
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1379321791500
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1379321791515
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1379321791562
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1379321791578
started,bundle,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.adt",1379321791593
started,bundle,com.android.ide.eclipse.base,22.0.1.v201305230001--685705,"com.android.ide.eclipse.base",1379321791609
started,bundle,com.google.gdt.eclipse.core,3.2.4.v201306061640-rel-r36,"com.google.gdt.eclipse.core",1379321791609
started,bundle,com.google.gdt.eclipse.login,3.2.4.v201306061640-rel-r36,"com.google.gdt.eclipse.login",1379321791609
started,bundle,com.google.gdt.eclipse.suite.ext,3.2.4.v201306061640-rel-r36,"com.google.gdt.eclipse.suite.ext",1379321791609
os,sysinfo,,,"win32",1379321791609
arch,sysinfo,,,"x86",1379321791609
ws,sysinfo,,,"win32",1379321791609
locale,sysinfo,,,"en_US",1379321791609
processors,sysinfo,,,"2",1379321791609
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1379321791609
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1379321791609
java.specification.name,sysinfo,,,"Java Platform API Specification",1379321791609
java.specification.vendor,sysinfo,,,"Oracle Corporation",1379321791609
java.specification.version,sysinfo,,,"1.7",1379321791609
java.vendor,sysinfo,,,"Oracle Corporation",1379321791609
java.version,sysinfo,,,"1.7.0_02",1379321791609
java.vm.info,sysinfo,,,"mixed mode",1379321791609
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1379321791609
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1379321791609
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1379321791609
java.vm.specification.version,sysinfo,,,"1.7",1379321791609
java.vm.vendor,sysinfo,,,"Oracle Corporation",1379321791609
java.vm.version,sysinfo,,,"22.0-b10",1379321791609
